item1_id,item2_id,item1_text,item2_text,item1_valence,item2_valence,item1_arousal,item2_arousal,item1_dominance,item2_dominance,valence_human_1,valence_human_2,valence_human_3,arousal_human_1,arousal_human_2,arousal_human_3,dominance_human_1,dominance_human_2,dominance_human_3
How_soon-Lebron-James_2193_2304,Uprooted_Farming-on-Sand_3238_3353,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",2.7,3.14,3.3,3.0,2.9,3.43,Text2,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text1
Nathans_Bylichka_15318_15334,hotel-california_33157_33182,"“Thanks, Dvorov.",Our instinct was to hide.,3.56,2.8,3.0,3.1,3.22,2.8,Text1,Text2,Text2,Text2,Text1,Text2,Text1,Text1,Text1
Anti-Terrorist_4031_4279,SemEval_597,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",Stenson defends his title at Dubai,2.92,3.12,3.0,3.12,2.91,3.12,Text2,Text1,Text2,Text2,Text1,Text2,Text1,Text2,Text2
NYTnewswire7_3260_3393,116CUL034_2074_2422,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""","Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.0,3.5,3.0,3.13,3.12,3.12,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2
118CWL050_2436_2656,blog-new-year's-resolutions_5010_5074,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",Self-efficacy did not have a significant effect on goal-setting.,3.0,2.9,3.0,3.0,3.0,3.1,Text1,Text1,Text1,Text2,Text1,Text1,Text2,Text1,Text2
blog-new-year's-resolutions_1573_1737,Nathans_Bylichka_38817_38837,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,“Didn’t I warn you?”,3.1,2.44,3.3,3.33,3.2,3.33,Text1,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text2
602CZL285_86_259,Nathans_Bylichka_12551_12560,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,What up?”,3.5,3.11,3.0,3.11,3.17,3.11,Text1,Text1,Text1,Text2,Text1,Text2,Text2,Text2,Text2
SemEval_1154,captured_moments_33844_33911,Audio Slide Show: A love story lasting 61 years,"I heard no voices until Malaquez said, ""Enter.""",3.2,2.9,2.9,2.9,3.0,2.9,Text1,Text1,Text1,Text2,Text2,Text1,Text1,Text1,Text2
NYTnewswire7_3260_3393,blog-new-year's-resolutions_1573_1737,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.0,3.1,3.0,3.3,3.12,3.2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1
116CUL034_796_978,How_soon-Lebron-James_2193_2304,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",3.2,2.7,3.0,3.3,3.5,2.9,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1
hotel-california_33157_33182,blog-new-year's-resolutions_5010_5074,Our instinct was to hide.,Self-efficacy did not have a significant effect on goal-setting.,2.8,2.9,3.1,3.0,2.8,3.1,Text2,Text1,Text2,Text1,Text1,Text1,Text2,Text2,Text2
Nathans_Bylichka_38817_38837,hotel-california_25973_25999,“Didn’t I warn you?”,No one else said anything.,2.44,2.82,3.33,2.55,3.33,3.09,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text1
